6_2s1/2,6_2p1/2,2.471,,
6_2s1/2,6_3d3/2,1.1,,
6_2s1/2,6_2p3/2,3.36,,1.848983621
6_2s1/2,6_3d1/2,0.82,,
6_2s1/2,6_1d3/2,1.27,,
6_2s1/2,7_2p1/2,0.08,,
6_2s1/2,7_2p3/2,0.11,,
6_2p3/2,6_2s1/2,2.471,,
6_2p3/2,6_3d5/2,0.00075,,
6_2p3/2,6_2p1/2,2.97,,
6_2p3/2,6_3d3/2,0.27,,
6_2p3/2,6_2p3/2,1.31,,
6_2p3/2,6_3d1/2,0.62,,
6_2p3/2,7_2p1/2,0.14,,
6_2p3/2,7_2p3/2,0.014,,
6_2p3/2,5_2f5/2,2.43,,
6_2p3/2,6_2f5/2,1.47,,
6_2p3/2,7_2f5/2,0.93,,
6_2p3/2,8_2f5/2,0.35,,
